title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,rating_tier,year_added,month_added,movie_age
Do Not Enter,Hugo Cardozo,"Pablo Martínez, Lucas Caballero, Rafael Alfaro, Lara Chamorro, Andy Romero","Argentina, Paraguay",8/6/2024,2024,7,Horror,es,115.588,129,7,550000,,Good,2024,August,1
The Moor,Chris Cronin,"Sophia La Porta, David Edward-Robertson, Elizabeth Dormer-Phillips, Mark Peachey, Vicki Hackett",Unknown,6/14/2024,2024,5.3,"Horror, Mystery, Drama",en,115.479,35,5.3,,,Average,2024,June,1
Twisters,Lee Isaac Chung,"Daisy Edgar-Jones, Glen Powell, Anthony Ramos, Brandon Perea, Maura Tierney",United States of America,7/10/2024,2024,6.9,"Action, Thriller",en,115.305,2254,6.9,155000000,370962265,Good,2024,July,1
The Bad Guys: Haunted Heist,Kevin Peaty,"Michael Godere, Ezekiel Ajeigbe, Raul Ceballos, Chris Diamantopoulos, Mallory Low",United States of America,10/2/2024,2024,7,"Animation, Comedy",en,114.74,111,7,,,Good,2024,October,1
It Ends with Us,Justin Baldoni,"Blake Lively, Justin Baldoni, Jenny Slate, Brandon Sklenar, Hasan Minhaj",United States of America,8/7/2024,2024,7.071,"Drama, Romance",en,113.18,1471,7.071,25000000,350993761,Good,2024,August,1
Number 24,John Andreas Andersen,"Sjur Vatne Brean, Erik Hivju, Philip Helgar, Magnus Dugdale, Jakob Maanum Trulsen",Norway,10/30/2024,2024,7.1,"War, History, Drama",no,113.127,251,7.1,,3301976,Good,2024,October,1
Canary Black,Pierre Morel,"Kate Beckinsale, Rupert Friend, Saffron Burrows, Ray Stevenson, Goran Kostić","United Kingdom, United States of America",10/10/2024,2024,6.2,"Action, Thriller, Crime",en,112.532,392,6.2,,525704,Average,2024,October,1
The Soul Eater,"Alexandre Bustillo, Julien Maury","Virginie Ledoyen, Paul Hamy, Sandrine Bonnaire, Malik Zidi, Emmanuel Lanzi","Belgium, France",4/24/2024,2024,6.2,"Thriller, Horror, Crime, Mystery",fr,111.625,144,6.2,3500000,864825,Average,2024,April,1
Classified,Roel Reiné,"Aaron Eckhart, Tim Roth, Abigail Breslin, Matt Hookings, Lucky Ali","United Kingdom, United States of America",9/19/2024,2024,5.7,"Action, Thriller",en,111.11,118,5.7,,,Average,2024,September,1
Late Night with the Devil,"Cameron Cairnes, Colin Cairnes","David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi, Ingrid Torelli","Australia, United Arab Emirates, United States of America",3/19/2024,2024,7.173,Horror,en,109.706,1396,7.173,2000000,15469415,Good,2024,March,1
Dominique,Michael S. Ojeda,"Oksana Orlan, Sebastián Carvajal, María del Rosario, Maurice Compte, Chase Coleman","Colombia, United States of America",10/11/2024,2024,7,"Action, Thriller",en,109.181,114,7,,,Good,2024,October,1
Animal Adventures: Save The Forest,Daniel H. Torrado,"Terrance Stewart, Monica Klein, Christopher Walker, John Lewis",United States of America,1/15/2024,2024,7.9,Animation,en,109.019,16,7.9,5000000,,Good,2024,January,1
Nightbitch,Marielle Heller,"Amy Adams, Scoot McNairy, Jessica Harper, Zoë Chao, Mary Holland",United States of America,12/6/2024,2024,5.806,Comedy,en,108.649,219,5.806,20000000,170737,Average,2024,December,1
Greedy People,Potsy Ponciroli,"Himesh Patel, Joseph Gordon-Levitt, Lily James, Uzo Aduba, Tim Blake Nelson",United States of America,8/23/2024,2024,6.057,"Comedy, Mystery, Crime",en,106.969,140,6.057,,,Average,2024,August,1
Borderlands,Eli Roth,"Cate Blanchett, Kevin Hart, Edgar Ramírez, Jamie Lee Curtis, Ariana Greenblatt","Luxembourg, United States of America",8/7/2024,2024,5.7,"Action, Science Fiction, Comedy",en,106.537,1041,5.7,115000000,32978510,Average,2024,August,1
Winnie-the-Pooh: Blood and Honey 2,Rhys Frake-Waterfield,"Scott Chambers, Ryan Oliva, Marcus Massey, Tallulah Evans, Lewis Santer",United Kingdom,3/26/2024,2024,6.026,"Horror, Thriller",en,106.518,342,6.026,415000,7582541,Average,2024,March,1
Never Let Go,Alexandre Aja,"Halle Berry, Anthony B. Jenkins, William Catlett, Percy Daggs IV, Matthew Kevin Anderson","United States of America, Canada, France",9/18/2024,2024,6.2,"Horror, Drama",en,106.289,369,6.2,20000000,21768945,Average,2024,September,1
The Front Room,"Max Eggers, Sam Eggers","Brandy Norwood, Andrew Burnap, Kathryn Hunter, Neal Huff, David Manis","United Kingdom, United States of America",9/5/2024,2024,5.3,"Horror, Comedy, Thriller",en,106.212,77,5.3,3500000,3165361,Average,2024,September,1
No Way Up,Claudio Fäh,"Colm Meaney, Phyllis Logan, Sophie McIntosh, Will Attenborough, Jeremias Amoore",United Kingdom,1/18/2024,2024,6.3,"Thriller, Horror, Action",en,105.504,998,6.3,,,Average,2024,January,1
The Fall Guy,David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham, Teresa Palmer","United States of America, Australia",4/24/2024,2024,7,"Action, Comedy, Romance",en,105.482,2810,7,125000000,181073291,Good,2024,April,1
Don't Move,"Brian Netto, Adam Schindler","Kelsey Asbille, Finn Wittrock, Daniel Francis, Moray Treadwell, Dylan Beam",United States of America,10/24/2024,2024,6.4,"Horror, Thriller",en,105.306,746,6.4,,,Average,2024,October,1
The Thicket,Elliott Lester,"Peter Dinklage, Juliette Lewis, Levon Hawke, Leslie Grace, Gbenga Akinnagbe","Canada, United States of America",9/5/2024,2024,6.4,"Crime, Thriller, Western",en,104.782,66,6.4,,,Average,2024,September,1
Beetlejuice Beetlejuice,Tim Burton,"Michael Keaton, Winona Ryder, Catherine O'Hara, Jenna Ortega, Justin Theroux",United States of America,9/4/2024,2024,7.063,"Comedy, Fantasy, Horror",en,104.421,2345,7.063,100000000,451100435,Good,2024,September,1
The Absence of Eden,Marco Perego Saldana,"Zoe Saldaña, Garrett Hedlund, Adria Arjona, Chris Coy, David Bortolucci","United States of America, United Kingdom",4/12/2024,2024,4.9,"Thriller, Drama, Romance, Crime",en,103.7,14,4.9,,,Poor,2024,April,1
The Killer's Game,J.J. Perry,"Dave Bautista, Sofia Boutella, Terry Crews, Pom Klementieff, Ben Kingsley","United States of America, United Kingdom, Spain",9/12/2024,2024,6.4,"Action, Comedy, Thriller",en,103.631,364,6.4,30000000,5928351,Average,2024,September,1
We Live in Time,John Crowley,"Andrew Garfield, Florence Pugh, Grace Delaney, Lee Braithwaite, Aoife Hinds",United Kingdom,10/10/2024,2024,7.4,"Romance, Drama",en,103.251,697,7.4,20000000,37182814,Good,2024,October,1
BLUE LOCK THE MOVIE -EPISODE NAGI-,Shunsuke Ishikawa,"Nobunaga Shimazaki, Yuma Uchida, Kazuyuki Okitsu, Kazuki Ura, Tasuku Kaito",Japan,4/19/2024,2024,7.362,"Animation, Action, Drama",ja,100.653,170,7.362,,14291561,Good,2024,April,1
The Order,Justin Kurzel,"Jude Law, Nicholas Hoult, Tye Sheridan, Jurnee Smollett, Alison Oliver","United Kingdom, United States of America",12/5/2024,2024,6.643,"Crime, Drama, Thriller",en,100.267,450,6.643,20000000,1970445,Good,2024,December,1
Kill 'em All 2,Valeri Milev,"Jean-Claude Van Damme, Jacqueline Fernandez, Andrei Lenart, Peter Stormare, Talia Asseraf","Italy, United States of America",9/24/2024,2024,6.7,"Action, Crime, Thriller",en,100.215,140,6.7,,,Good,2024,September,1
5-Sep,Tim Fehlbaum,"John Magaro, Leonie Benesch, Peter Sarsgaard, Ben Chaplin, Zinedine Soualem","Germany, United States of America",11/7/2024,2024,6.996,"Thriller, Drama, History",en,96.704,234,6.996,,852000,Good,2024,November,1
The Apprentice,Ali Abbasi,"Sebastian Stan, Jeremy Strong, Maria Bakalova, Martin Donovan, Catherine McNally","Canada, Denmark, Ireland, Sweden, United Kingdom, United States of America",10/9/2024,2024,6.8,"History, Drama",en,96.145,524,6.8,16000000,17279457,Good,2024,October,1
The Shadow Strays,Timo Tjahjanto,"Aurora Ribero, Hana Malasan, Andri Mashadi, Adipati Dolken, Kristo Immanuel","Indonesia, United States of America",9/10/2024,2024,7.2,"Action, Crime, Thriller",id,95.918,228,7.2,,,Good,2024,September,1
The Convert,Lee Tamahori,"Guy Pearce, Tioreore Ngatai-Melbourne, Antonio Te Maioha, Jacqueline McKenzie, Te Kohe Tuhaka","Australia, New Zealand, United Kingdom",3/14/2024,2024,6.1,"Action, Drama",en,95.912,122,6.1,,692018,Average,2024,March,1
Attack on Titan: THE LAST ATTACK,Yuichiro Hayashi,"Yuki Kaji, Yui Ishikawa, Marina Inoue, Hiroshi Kamiya, Yu Shimamura",Japan,11/8/2024,2024,8.35,"Animation, Action, Adventure, Fantasy",ja,95.096,20,8.35,,12755520,Excellent,2024,November,1
Sumala,Rizal Mantovani,"Luna Maya, Darius Sinathrya, Makayla Rose Hilli, Ivonne Dahler, Denino Basrial",Indonesia,9/26/2024,2024,7.7,"Horror, Thriller",id,94.157,16,7.7,,,Good,2024,September,1
2073,Asif Kapadia,"Samantha Morton, Naomi Ackie, Hector Hewer","United Kingdom, United States of America",12/27/2024,2024,7,"Thriller, Documentary, Science Fiction",en,92.199,44,7,,7125,Good,2024,December,1
The Silent Hour,Brad Anderson,"Joel Kinnaman, Sandra Mae Frank, Mekhi Phifer, Mark Strong, Michael Eklund","United States of America, Malta",10/3/2024,2024,6.5,"Crime, Thriller, Action",en,92.163,171,6.5,,209307,Average,2024,October,1
That Christmas,Simon Otto,"Brian Cox, Bill Nighy, Fiona Shaw, Jack Wisniewski, Jodie Whittaker",United Kingdom,11/27/2024,2024,7.1,"Animation, Comedy, Family, Fantasy, Adventure",en,92.112,322,7.1,,,Good,2024,November,1
Wake Up,"Yoann-Karl Whissell, François Simard, Anouk Whissell","Turlough Convery, Benny O. Arthur, Alessia Yoko Fontana, Jacqueline Moré, Kyle Scudder","Canada, France",5/8/2024,2024,7.1,"Horror, Thriller, Action",en,91.698,100,7.1,,251071,Good,2024,May,1
Mickey and the Very Many Christmases,"Greg Rankin, Janice S. Rim","Bret Iwan, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille","United States of America, Canada",12/1/2024,2024,6.3,"Animation, Adventure, Comedy, Family",en,89.996,14,6.3,,,Average,2024,December,1
Wolfs,Jon Watts,"George Clooney, Brad Pitt, Austin Abrams, Amy Ryan, Poorna Jagannathan",United States of America,9/20/2024,2024,6.549,"Comedy, Action, Crime",en,89.118,997,6.549,80000000,,Good,2024,September,1
Immaculate,Michael Mohan,"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli, Giorgio Colangeli",United States of America,3/20/2024,2024,6.24,"Horror, Mystery, Thriller",en,88.877,1358,6.24,9000000,35340015,Average,2024,March,1
Megalopolis,Francis Ford Coppola,"Adam Driver, Giancarlo Esposito, Nathalie Emmanuel, Aubrey Plaza, Shia LaBeouf",United States of America,9/25/2024,2024,5.276,"Science Fiction, Drama",en,88.696,700,5.276,120000000,13857002,Average,2024,September,1
Tarot,"Spenser Cohen, Anna Halberg","Harriet Slater, Adain Bradley, Avantika, Jacob Batalon, Humberly González",United States of America,5/1/2024,2024,6.5,Horror,en,87.997,1124,6.5,8000000,49256239,Average,2024,May,1
Buffalo Kids,"Pedro Solís, Juan Jesús García Galocha","Mia Pérez Ullod, Jaume Solà, Javier Cassi Gimeno, Federico Bote Bubaila, Isabel Valls",Spain,8/14/2024,2024,6.8,"Animation, Adventure, Comedy, Family",es,87.609,21,6.8,,7478666,Good,2024,August,1
Megamind vs. the Doom Syndicate,Eric Fogel,"Keith Ferguson, Laura Post, Josh Brener, Maya Tuttle, Emily Tuñon",United States of America,3/1/2024,2024,5.2,"Animation, Comedy, Science Fiction",en,87.238,289,5.2,,,Average,2024,March,1
Blink Twice,Zoë Kravitz,"Naomi Ackie, Channing Tatum, Alia Shawkat, Christian Slater, Simon Rex",United States of America,8/21/2024,2024,6.676,"Mystery, Thriller",en,87.133,1315,6.676,20000000,46393906,Good,2024,August,1
1978,"Luciano Onetti, Nicolás Onetti","Agustin Olcese, Mario Alarcón, Carlos Portaluppi, Santiago Rios, Jorge Lorenzo","Argentina, New Zealand",10/16/2024,2024,6.214,"Horror, Thriller, Drama",es,86.995,8,6.214,,,Average,2024,October,1
Brothers,Max Barbakow,"Josh Brolin, Peter Dinklage, Glenn Close, Brendan Fraser, Taylour Paige",United States of America,10/10/2024,2024,6,"Action, Comedy, Crime",en,86.536,251,6,,,Average,2024,October,1
The Haunting of the Immaculate Nurse,Rigoberto Castañeda,"Paulina Gaitán, Tony Dalton, Patricia Reyes Spíndola, Enoc Leaño, Fernanda Echevarría del Rivero",Mexico,10/31/2024,2024,5.3,Horror,es,85.96,27,5.3,,,Average,2024,October,1
Damsel,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter, Nick Robinson","Spain, United States of America",3/7/2024,2024,7.03,"Fantasy, Action, Adventure",en,85.795,2346,7.03,60000000,5000,Good,2024,March,1
Saving Bikini Bottom: The Sandy Cheeks Movie,Liza Johnson,"Carolyn Lawrence, Tom Kenny, Clancy Brown, Bill Fagerbakke, Mr. Lawrence",United States of America,10/18/2024,2024,6,"Animation, Comedy, Adventure, Family",en,85.076,71,6,100000000,,Average,2024,October,1
The Six Triple Eight,Tyler Perry,"Kerry Washington, Sam Waterston, Susan Sarandon, Oprah Winfrey, Ebony Obsidian",United States of America,12/6/2024,2024,7.527,"Drama, War, History",en,84.352,456,7.527,,,Good,2024,December,1
The Ministry of Ungentlemanly Warfare,Guy Ritchie,"Henry Cavill, Eiza González, Alan Ritchson, Henry Golding, Cary Elwes","United Kingdom, United States of America",4/18/2024,2024,7.1,"Action, Comedy, War",en,84.319,1376,7.1,60000000,29715044,Good,2024,April,1
Take Cover,Nick McKinless,"Scott Adkins, Alice Eve, Jack Parr, Billy Clements, Mădălina Bellariu Ion",United States of America,10/4/2024,2024,6.6,"Action, Thriller",en,83.866,107,6.6,,,Good,2024,October,1
Land of Bad,William Eubank,"Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle, Milo Ventimiglia","United States of America, Australia, Czech Republic",2/9/2024,2024,7.3,"Action, War, Thriller",en,83.858,1221,7.3,18000000,7021101,Good,2024,February,1
Harold and the Purple Crayon,Carlos Saldanha,"Zachary Levi, Lil Rel Howery, Zooey Deschanel, Benjamin Bottani, Tanya Reynolds",United States of America,7/31/2024,2024,6.829,"Family, Adventure, Fantasy, Comedy",en,83.183,258,6.829,40000000,32227855,Good,2024,July,1
The Tearsmith,Alessandro Genovesi,"Caterina Ferioli, Simone Baldasseroni, Sabrina Paravicini, Alessandro Bedetti, Roberta Rovelli",Italy,4/3/2024,2024,6.523,"Romance, Drama",it,83.103,839,6.523,7000000,,Good,2024,April,1
Juror #2,Clint Eastwood,"Nicholas Hoult, Toni Collette, J.K. Simmons, Chris Messina, Gabriel Basso",United States of America,10/30/2024,2024,6.816,"Crime, Drama",en,83.074,1494,6.816,30000000,21418477,Good,2024,October,1
The Girl with the Needle,Magnus von Horn,"Vic Carmen Sonne, Trine Dyrholm, Besir Zeciri, Joachim Fjelstrup, Tessa Hoder","Denmark, Poland, Sweden",9/6/2024,2024,7.7,"Drama, History",da,82.568,158,7.7,,470300,Good,2024,September,1
The Idea of You,Michael Showalter,"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo, Reid Scott",United States of America,5/2/2024,2024,7.399,"Romance, Drama, Comedy",en,81.777,1621,7.399,,36178,Good,2024,May,1
Knox Goes Away,Michael Keaton,"Michael Keaton, Al Pacino, Marcia Gay Harden, James Marsden, Suzy Nakamura",United States of America,3/15/2024,2024,7,"Action, Crime, Thriller",en,81.661,339,7,963703,,Good,2024,March,1
Big World,Yang Lina,"Jackson Yee, Diana Lin, Jiang Qinqin, Zhou Yutong, Liao Xueqiu",China,12/27/2024,2024,7.5,"Drama, Family",zh,81.526,13,7.5,7000000,109500000,Good,2024,December,1
Young Hearts,Anthony Schatteman,"Lou Goossens, Marius De Saeger, Geert Van Rampelberg, Emilie De Roo, Dirk van Dijck","Belgium, Netherlands",10/26/2024,2024,8.5,"Drama, Romance",nl,80.446,48,8.5,,2160,Excellent,2024,October,1
The Room Next Door,Pedro Almodóvar,"Julianne Moore, Tilda Swinton, John Turturro, Alessandro Nivola, Juan Diego Botto",Spain,10/7/2024,2024,6.8,Drama,es,80.193,405,6.8,,15102319,Good,2024,October,1
Atlas,Brad Peyton,"Jennifer Lopez, Simu Liu, Sterling K. Brown, Gregory James Cohan, Abraham Popoola",United States of America,5/23/2024,2024,6.8,"Science Fiction, Action",en,79.385,1338,6.8,100000000,,Good,2024,May,1
Amityville: Where the Echo Lives,Carlos Ayala,"Sarah McDonald, Breanna Rossi, Adela Perez, Nicholas J. Barelli, Hector De Alva",United States of America,10/28/2024,2024,5.2,"Horror, Mystery",en,79.153,14,5.2,,,Average,2024,October,1
Rebel Ridge,Jeremy Saulnier,"Aaron Pierre, Don Johnson, AnnaSophia Robb, Emory Cohen, David Denman",United States of America,8/27/2024,2024,6.987,"Crime, Action, Thriller, Drama",en,79.067,1225,6.987,,,Good,2024,August,1
Outside,Carlo Ledesma,"Sid Lucero, Beauty Gonzalez, Marco Masa, Aiden Patdu, James Blanco",Philippines,10/16/2024,2024,6.1,"Horror, Thriller",tl,78.526,127,6.1,,,Average,2024,October,1
Trap,M. Night Shyamalan,"Josh Hartnett, Ariel Donoghue, Saleka Night Shyamalan, Alison Pill, Hayley Mills",United States of America,7/31/2024,2024,6.394,"Crime, Thriller, Horror",en,78.284,1953,6.394,30000000,82677281,Average,2024,July,1
Remnant,Mike Horan,"Nicole Pritchard, Shaun Robert Foley, Tsu Shan Chambers, Remi Webster, Megan Bell",Australia,6/30/2024,2024,4.9,"Science Fiction, Horror, Thriller",en,78.095,14,4.9,,,Poor,2024,June,1
The Wages of Fear,Julien Leclercq,"Franck Gastambide, Alban Lenoir, Ana Girardot, Sofiane Zermani, Astrid Whettnall","Belgium, France",3/28/2024,2024,6.2,Action,fr,78.048,452,6.2,,,Average,2024,March,1
The Aunts,Felipe Martínez Amador,"Ximena Sariñana, Camila Nuñez, Diego Klein, Roberto Quijano, Beatriz Monroy",Unknown,8/28/2024,2024,6.5,Horror,es,78.036,27,6.5,,,Average,2024,August,1
Justice League: Crisis on Infinite Earths Part Three,Jeff Wamester,"Jensen Ackles, Darren Criss, Corey Stoll, Gideon Adlon, Ike Amadi",United States of America,7/15/2024,2024,7.3,"Animation, Science Fiction, Action",en,77.202,256,7.3,,,Good,2024,July,1
Kill,Nikhil Nagesh Bhat,"Lakshya Lalwani, Raghav Juyal, Tanya Maniktala, Ashish Vidhyarthi, Abhishek Chauhan",India,7/3/2024,2024,7.1,"Action, Crime, Thriller, Drama",hi,76.746,341,7.1,4800000,5600000,Good,2024,July,1
Look Back,Kiyotaka Oshiyama,"Yuumi Kawai, Mizuki Yoshida, Yoichiro Saito, Kota Oka, Kureha Maki",Japan,6/28/2024,2024,8,"Animation, Drama",ja,76.49,299,8,,12648664,Good,2024,June,1
The Bad Shepherd,Geo Santini,"Christos Kalabogias, Scotty Tovar, Geo Santini, Brett Zimmerman, Justin Taite",United States of America,2/23/2024,2024,5.8,"Thriller, Crime",en,76.483,26,5.8,,,Average,2024,February,1
Through My Window 3: Looking at You,Marçal Forés,"Clara Galle, Julio Peña, Natalia Azahara, Hugo Arbues, Eric Masip",Spain,2/23/2024,2024,6.944,"Romance, Drama, Comedy",es,74.903,593,6.944,,,Good,2024,February,1
Cinderella's Curse,Louisa Warren,"Kelly Rian Sanson, Chrissie Wunna, Natasha Tosini, Lauren Budd, Danielle Scott",United Kingdom,5/31/2024,2024,6,"Horror, Fantasy",en,74.248,49,6,,47300,Average,2024,May,1
Sing Sing,Greg Kwedar,"Colman Domingo, Clarence Maclin, Sean San Jose, Paul Raci, David ""Dap"" Giraudy",United States of America,7/12/2024,2024,7.593,Drama,en,74.043,150,7.593,2000000,3401789,Good,2024,July,1
SDI: Secret Department of Intervention,"Sébastien Baccala, Thomas Khawam","Thomas Khawam, Aurore Planas, Pierre André, Laurent Leca",Unknown,11/28/2024,2024,5.2,Action,fr,73.95,12,5.2,,,Average,2024,November,1
My Old Ass,Megan Park,"Maisy Stella, Aubrey Plaza, Percy Hynes White, Maddie Ziegler, Kerrice Brooks",United States of America,9/13/2024,2024,6.9,"Comedy, Drama, Romance",en,73.828,271,6.9,3000000,5705895,Good,2024,September,1
Afraid,Chris Weitz,"John Cho, Katherine Waterston, Keith Carradine, Havana Rose Liu, Lukita Maxwell",United States of America,8/28/2024,2024,6,"Horror, Science Fiction, Thriller",en,73.211,355,6,12000000,12977758,Average,2024,August,1
The Calendar Killer,Adolfo J. Kolmerer,"Luise Heyer, Sabin Tambrea, Friedrich Mücke, Rainer Bock, Andreas Döhler","Germany, United States of America",6/17/2024,2024,6.2,"Crime, Thriller",de,73.155,180,6.2,,,Average,2024,June,1
Beverly Hills Cop: Axel F,Mark Molloy,"Eddie Murphy, Joseph Gordon-Levitt, Taylour Paige, Judge Reinhold, John Ashton",United States of America,6/20/2024,2024,6.7,"Action, Comedy, Crime",en,73.074,1187,6.7,150000000,,Good,2024,June,1
Saptha Kandam,Prasanth Sasi,Sreelakshmi Aravindakshan,India,12/6/2024,2024,0,"Drama, Romance",ml,72.802,0,0,,,,2024,December,1
House of Ga'a,Bolanle Austen-Peters,"Femi Branch, Mike Afolarin, Funke Akindele, Femi Adebayo, Ibrahim Chatta",Nigeria,7/26/2024,2024,5.5,"Action, History",en,72.674,109,5.5,,,Average,2024,July,1
Rita,Paz Vega,"Sofía Allepuz, Alejandro Escamilla, Paz Vega, Roberto Álamo, Paz de Alarcón",Spain,10/25/2024,2024,6.375,Drama,es,72.637,4,6.375,,,Average,2024,October,1
Monster Summer,David Henrie,"Mel Gibson, Mason Thames, Julian Lerner, Abigail James Witherspoon, Noah Cottrell",United States of America,10/4/2024,2024,6.4,"Adventure, Fantasy, Mystery, Horror",en,72.369,69,6.4,,,Average,2024,October,1
Twilight of the Warriors: Walled In,Soi Cheang,"Raymond Lam Fung, Sammo Hung Kam-Bo, Louis Koo, Richie Jen, Terrance Lau Chun-Him","China, Hong Kong",4/23/2024,2024,7,"Action, Crime, Thriller",cn,72.187,308,7,38400000,95399186,Good,2024,April,1
Queer,Luca Guadagnino,"Daniel Craig, Drew Starkey, Jason Schwartzman, Lesley Manville, Henry Zaga","Italy, United States of America",11/27/2024,2024,6.915,"Drama, Romance",en,72.182,207,6.915,53400000,3865730,Good,2024,November,1
10 Lives,Christopher Jenkins,"Mo Gilligan, Simone Ashley, Sophie Okonedo, Zayn Malik, Dylan Llewellyn","Canada, United Kingdom, United States of America",4/18/2024,2024,7.8,"Animation, Comedy, Family, Fantasy",en,71.905,177,7.8,,16219846,Good,2024,April,1
Kalikot,Artemio Abad,"Van Allen Ong, Sheila Snow, Arah Alonzo, Raul Montesa, Unique Valdez Cajeda",Philippines,3/12/2024,2024,6.8,Drama,tl,71.872,11,6.8,,,Good,2024,March,1
The Devil's Bath,"Veronika Franz, Severin Fiala","Anja Plaschg, Maria Hofstätter, David Scheid, Natalija Baranova, Lukas Walcher","Austria, Germany",3/8/2024,2024,6.8,"Drama, Mystery, History, Horror",de,71.825,87,6.8,,,Good,2024,March,1
Bag of Lies,David Andrew James,"John Wells, Madison Pullins, Patrick Taft, Brandi Botkin, Terry Tocantins",United States of America,3/29/2024,2024,5.6,"Horror, Thriller",en,71.418,31,5.6,,,Average,2024,March,1
The Watchers,Ishana Night Shyamalan,"Dakota Fanning, Georgina Campbell, Olwen Fouéré, Oliver Finnegan, Alistair Brammer","United States of America, Ireland",6/6/2024,2024,6.4,"Fantasy, Horror, Mystery",en,71.242,1189,6.4,30000000,51147812,Average,2024,June,1
Freedom,Mélanie Laurent,"Lucas Bravo, Yvan Attal, Léa Luce Busato, Steve Tientcheu, David Ayala",France,11/1/2024,2024,6.4,"Action, Romance, Drama",fr,71.049,96,6.4,,,Average,2024,November,1
Hounds of War,Isaac Florentine,"Frank Grillo, Robert Patrick, Rhona Mitra, Leeshon Alexander, Urs Rechn",United States of America,8/29/2024,2024,6.3,"Action, Thriller",en,70.703,140,6.3,13000000,126540,Average,2024,August,1
The Jack in the Box Rises,Lawrence Fowler,"Nicholas Anscombe, Isabella Colby Browne, Derek Nelson, Georgia Conlan, James Reynard",United Kingdom,1/18/2024,2024,6.6,Horror,en,70.518,175,6.6,,771460,Good,2024,January,1
Pushpa 2 - The Rule,Sukumar,"Allu Arjun, Rashmika Mandanna, Fahadh Faasil, Jagadeesh Bandari, Rao Ramesh",India,12/4/2024,2024,6.762,"Action, Drama, Thriller, Crime",te,70.314,63,6.762,63000000,199000000,Good,2024,December,1
Challengers,Luca Guadagnino,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling, Bryan Doo","Italy, United States of America",4/18/2024,2024,7,"Romance, Drama",en,69.941,2055,7,55000000,94182533,Good,2024,April,1
Officer Black Belt,Jason Kim,"Kim Woo-bin, Kim Sung-kyun, Lee Hyun-gul, Park Ji-yeol, Lee Jung-ok",South Korea,9/12/2024,2024,7.7,"Action, Comedy, Crime",ko,69.699,269,7.7,,,Good,2024,September,1
Unstoppable,William Goldenberg,"Jharrel Jerome, Anthony Robles, Jennifer Lopez, Michael Peña, Don Cheadle",United States of America,12/6/2024,2024,4.8,"Drama, History",en,69.604,130,4.8,,,Poor,2024,December,1
Bangkok Breaking: Heaven and Hell,Kongkiat Khomsiri,"Sukollawat Kanarot, Atitaya Tribudarak, Sanya Kunakorn, Natthaya Ongsritragul, Day Thaitanium",Thailand,9/26/2024,2024,6.6,"Action, Crime, Drama, Thriller",th,69.59,57,6.6,,,Good,2024,September,1
Baki Hanma VS Kengan Ashura,Toshiki Hirano,"Nobunaga Shimazaki, Tatsuhisa Suzuki",Japan,6/5/2024,2024,7.5,"Animation, Action, Fantasy",ja,69.342,291,7.5,,,Good,2024,June,1
Madame Web,S.J. Clarkson,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor, Tahar Rahim",United States of America,2/14/2024,2024,5.4,"Action, Fantasy",en,69.258,2122,5.4,80000000,100498764,Average,2024,February,1
The Union,Julian Farino,"Mark Wahlberg, Halle Berry, J.K. Simmons, Mike Colter, Adewale Akinnuoye-Agbaje",United States of America,8/15/2024,2024,6.2,"Action, Comedy",en,69.131,946,6.2,,,Average,2024,August,1
Uprising,Kim Sang-man,"Gang Dong-won, Park Jeong-min, Cha Seung-won, Kim Shin-rock, Jin Sun-kyu",South Korea,10/2/2024,2024,7,"Action, Drama, History",ko,68.965,155,7,,,Good,2024,October,1
The Return,Uberto Pasolini,"Ralph Fiennes, Juliette Binoche, Charlie Plummer, Marwan Kenzari, Claudio Santamaria","Greece, Italy, United Kingdom, United States of America",9/7/2024,2024,6.6,"History, Drama, Adventure",en,68.871,241,6.6,20000000,2106733,Good,2024,September,1
Pimpinero: Blood and Oil,Andrés Baiz,"Juanes, Alejandro Speitzer, Alberto Guerra, Laura Osma, Norberto Rivera",Colombia,10/10/2024,2024,6.4,"Action, Crime, Drama",es,67.933,112,6.4,,,Average,2024,October,1
Ghostbusters: Frozen Empire,Gil Kenan,"Mckenna Grace, Paul Rudd, Carrie Coon, Finn Wolfhard, Dan Aykroyd",United States of America,3/20/2024,2024,6.5,"Fantasy, Adventure, Comedy",en,67.89,1722,6.5,100000000,201967521,Average,2024,March,1
A Different Man,Aaron Schimberg,"Sebastian Stan, Renate Reinsve, Adam Pearson, Miles G. Jackson, Patrick Wang",United States of America,8/24/2024,2024,7,"Comedy, Drama",en,67.805,209,7,,1169365,Good,2024,August,1
